Paper,Conference,Edition,Year
Circuit design for embedded memory in low-power integrated circuits.,ICCSEA ,12,2017
Selection and control of the active learning bias.,International Conference on Web Services,18,2018
Graph coloring and graph convexity (Coloraãão em convexidade em grafos).,IJFCST ,2,2017
The logic of systems.,"NLPAI--Ei Compendex, Scopus ",20,2020
Crude registration of range images through simplified meshes.,IJNGN ,18,2017
Desenvolvimento de heurística para solução do problema de escalonamento de veículos com múltiplas garagens.,TSP ,7,2022
An approach to provide autonomy to distributed environments by predicting the dynamics of process behavior.,IEEE-EI/Scopus-ITCC ,12,2018
Aquisição de dados em experiências de RPE usando minicomputador de tempo real.,SEAS,17,2018
Protecting externally supplied software in small computers.,CSEA ,6,2018
Usabilidade da imagem na recuperação da informação no catálogo público de acesso em linha.,Geohorizon,9,2018
Resistência a sistema de informação: uma investigação multi-paper.,IJP2P ,6,2022
Low complexity scalable video encoding.,"WSEA--Ei Compendex, Scopus ",2,2023
SOA governance proposition using dynamic capabilities: an application at university digital communication center (Proposta de governança SOA utilizando capacidades dinâmicas: uma aplicação em centro de comunicação digital universitário).,IJITMC ,18,2020
Proposta e avaliação de um protocolo de transporte para redes IP utilizando enlace de satélite.,CSEIT ,18,2017
Characterization and estimation of occurrence of heat waves with impact on broiler mortality.,Computing in Cardiology,3,2019
The development and application of random matrix theory in adaptive signal processing in the sample deficient regime.,NLAI ,7,2022
"Is ""best practice"" really the best?: examining the effects of ERP adoption on core competency.",IJIST ,16,2019
An incremental space for visual mining of dynamic document collections (Espaço incremental para a mineração visual de conjuntos dinâmicos de documentos).,DaMi ,5,2022
Gestão de fontes externas de informação tecnológica e desempenho inovador na empresa.,IJCSA ,8,2017
Imaging through ground-level turbulence by fourier telescopy: simulations and preliminary experiments.,NLPI ,20,2017
"Semiconductor process design: representations, tools, and methodologies.",SP ,11,2020
"Inteligência competitiva organizacional: um modelo apoiado nos comportamentos de busca, compartilhamento e uso de informação e de TIC.",NEATCLasS ,11,2021
"Adaptability, reusability and variability in software systems for space on-board computing.",MLAINLP ,10,2022
Dynamics of spectral algorithms for distributed routing.,IJP2P ,5,2021
Modelos Neuro-fuzzy hieráRquicos.,IJFCSTIA ,12,2023
Modeling and inference of changing dependence among multiple time-series.,Abstract management,14,2018
VisualizaçãO VoluméTrica com Ray-Casting NUM Ambiente Distribuído.,IJITCA ,11,2018
Secure computation on untrusted platforms.,IJSEA ,14,2019
Uma linguagem para formalização de discursos com base em ontologias.,IC2E ,5,2022
Avaliação do Programa Um computador por Aluno (PROUCA) sob a ótica do modelo CIPP.,CD-MAKE ,11,2020
Heterogeneous acoustic measurements and multiple classifiers for speech recognition.,IJNGN ,15,2019
Modular design of biological systems.,Conference on Information Technology,16,2021
Métodos não lineares descontínuos submalha para a equação de convecção-difusão-reação.,IJMECH ,6,2022
O uso estratégico da internet no planejamento de marketing.,CSITEC ,3,2023
Decoherence and teleportation in cavity quantum electrodynamics.,IJCIS ,5,2021
Large deviations in high speed communication networks.,EDU ,9,2022
Computing policy in education: governmental speech.,International Conference on Information Systems,3,2022
As estratégias de inserção e permanência na rede de trabalho em tecnologia da informação.,SERA ,1,2023
Os nervos do poder: uma visão cibernética do direito.,NLAI ,1,2023
Computational structure of human language.,IJSCMC ,19,2020
Learning semantic structures from in-domain documents.,ICCSEA ,7,2017
Software-assisted cache mechanisms for embedded systems.,"ICCEE--Ei Compendex, Scopus ",9,2021
Excitonic spin engineering in optoelectronic devices.,The Science of Consciousness,16,2022
Um modelo para medir a qualidade da informação de sites utilizando programação difusa.,CSEIJ ,12,2020
Robust dependent task schedulers for grid networks.,CSEIT ,19,2022
Portfolio optimization with quantile-based risk measures.,WBC ,5,2020
Optical receiver techniques for integrated photonic links.,DiSLiDaS ,17,2017
Scientific papers in Medicine in Brazil: Prospective of collaborative authorships.,AIMS Meeting,12,2021
Tactual display of consonant voicing to supplement lipreading.,CSEA ,8,2023
An architecture synthesis system for embedded processors.,ICTS4eHealth,6,2023
Bio-inspired systems for coordination of mobile multiple-robots.,IJPLA ,5,2020
Bipolar cascade lasers.,AIS ,6,2021
Simulação de sistemas distribuídos híbridos e dinâmicos.,IC2E ,5,2022
Towards an implementation of quantum manipulation in solid states.,Association for Laboratory Phonology,16,2019
LóGICA Modal de Primeira-ordem para Raciocinar sobre jogos.,RuhrSec ,8,2023
Dynamic server consolidation with controlled reconfiguration delays.,ARIN ,8,2017
High temperature superconducting magnetic suspension for Maglev.,Association for Laboratory Phonology,12,2018
Extracting information from informal communication.,IJSEA ,7,2021
AlGaN/GaN-based power semiconductor switches.,ITCSE ,13,2020
The Role of Dorsal Anterior Cingulate Cortex in the Motor Control.,MEAP ,2,2017
Esquema de caminhos emergenciais rápidos para amenizar perdas de pacotes.,"IEEE--ICVR--Ei Compendex, Scopus ",11,2017
Redes sociais temáticas inclusivas.,IJESA ,17,2022
Optical aids fo low vision: the use of the internet by teachers of people with visual impairment.,"IEEE--PRML--Ei, Scopus ",9,2021
The development of large area saturable Bragg reflectors for the generation of widely-tunable ultra-short pulses.,I4CS ,19,2018
VRCodes: embedding unobtrusive data for new devices in visible light.,Fuzzy ,13,2019
Proposition d'un Systeme de Recherche d'Information Assistee par Ordinateur: avec application a la langue portugaise.,IJDMS ,3,2021
A mediação da informação contábil sob a ótica da ciência da informação.,SAM,13,2018
Binary operators in multimidia data base.,FCST ,13,2019
Applications of interdigital dielectrometry to moisture and double layer measurements in transformer insulation.,BigDaCI ,16,2023
"Desenvolvimento e teste de um método de análise de acessibilidade a serviços públicos de saúde, num contexto de demanda variável.",WBC ,20,2017
A novel wideband gyrotron travelling wave amplifier.,ACIJ,5,2020
Tolerância a falhas em sistemas MPI com grupos dinâmicos de processos recomendados e registro de mensagens distribuído baseado em paxos.,ICTS4eHealth,8,2017
Arte Computacional e Teoria Ator-Rede: actantes e associações intersubjetivas em cena.,The Science of Consciousness,9,2018
Espaço e poesia na comunicação em meio digital.,IJSEA ,6,2018
"A inteligibilidade das informações disponibilizadas pelo governo federal nos programas, projetos e ações direcionados para o bem comum da sociedade.",Georgetown Leadership Seminar,20,2022
Multiplexing methods for fiber optic local communication networks.,CMIT ,8,2020
"Development of methods for extraction, comparison and analysis of intrinsic features of medical images, aiming at perceptual content-based retrieval","ACM--ICHMI--Ei Compendex, Scopus ",4,2020
A institucionalização da pesquisa educacional no Brasil: estudo bibliométrico dos artigos publicados na Revista Brasileira de Estudos Pedagógicos 1944-74.,MEC ,16,2020
TTOOL: modelo para planejamento pedagógico e instrumentalização de professores no processo de ensino-aprendizagem e avaliação em educação online.,IJITMC ,19,2018
Reputation and trust-based security in wireless sensor networks.,NLPD ,14,2017
Módulos computacionais de análise geoestatística e retificação de zonas de manejo.,IJFCST ,2,2018
Disclosure and market consequences of firm-specific news announcements in the emerging market of China.,International Congress of Orientalists,19,2018
Dynamic scheduling algorithm based on queue parameter balancing and generalized large deviation techniques.,IJFCST ,17,2017
Automatic patch generation via learning from successful human patches.,ACIJ,5,2017
Agrupamento hierárquico semissupervisionado ativo baseado em confiança e sua aplicação para extração de hierarquias de tópicos a partir de coleções de documentos.,SAM,9,2018
"Corpulações: Informação, Comunicação, Movimento e contato.",AIS ,13,2021
Análise do padrão cinemático da marcha em equinos por meio de redes neurais artificiais.,dsaai ,1,2022
Transient electromagnetic dipole radiation over a stratified medium.,AITIJ ,10,2017
Modelagem e simulação de sistemas dinamicamente reconfiguráveis em granularidades diversas.,IHCI ,15,2021
Reconstruction from point cloud by using discrete functions Morse.,IJITCA ,16,2018
Learning from Ambiguity.,Text Speech and Dialogue,14,2021
Energy efficient UWB radio transceiver architectures and receiver circuits.,IJCSIT ,19,2023
Inspiração biológica em IA.,CSC ,20,2022
Bidirectional adaptive optics architectures for optical communication through atmospheric turbulence.,dsaa ,9,2018
Informative Contract of journalism in the mediatized Ecosystem: Semio-Linguistic Strategies of production Instance on Facebook (Contrato de informação do jornalismo no ecossistema midiatizado: estratégias semiolinguísticas da instância de produção no facebook).,SOENG ,11,2020
Adapting the dynamic selection of classifiers approach for concept drift scenarios.,AVC ,19,2017
Modelling of polymerization reactors: deterministic and by neural networks.,International Congress of Americanists,13,2020
Multicolor entanglement for quantum information network (Emaranhamento multicor para redes de informação quântica).,IJITCS ,4,2017
The Evolution of the interdisciplinarity of Information Science: a bibliometric Study.,SERA ,17,2023
Object-based world modeling for mobile-manipulation robots.,The Science of Consciousness,14,2023
"Dinheiro, trabalho e as tecnologias de informação e da comunicação.",PBIJ ,20,2017
Increasing quality of service using transport layer coding over parallel heterogeneous networks.,BDAP ,16,2021
Coupled field problems numerical modeling for microelectromechanical systems.,"IEEE SEAI--EI Compendex, Scopus",2,2023
