paper,keywords,topics
Automatische Erstellung und interaktive Verwendung graphischer Darstellungen als Kommunikatinsmittel in Expertensystemen.,kommunikatinsmittel:expertensystemen.:interaktive,Computer Science and Game Theory
Combinatorial problems in information networks and distributed datastructuring.,networks:information:distributed,Mathematical Software
Algorithms for scheduling malleable and nonmalleable parallel tasks.,nonmalleable:tasks.:scheduling,Machine Learning
Approximability of cycle covers and smoothed analysis of binary search trees.,approximability:smoothed:trees.,Information Theory
Maschinelles Dolmetschen mit Mehr-Ebenen-Charts.,dolmetschen:mehr-ebenen-charts.,Multiagent Systems
Design of embedded real-time computing systems.,systems.:design:embedded,Digital Libraries
An architecture for distributed user interfaces.,architecture:user,Symbolic Computation
"Datenbankentwurf im Dialog - integrierte Beschreibung von Strukturen, Transaktionen und Konsistenz.","datenbankentwurf:strukturen,",Operating Systems
Metonymien - eine computerlinguistische Analyse.,analyse.:computerlinguistische,Numerical Analysis
Operational reduction models for functional programming languages.,operational:programming,Mathematical Software
Zur Klassifizierung regulärer Baumsprachen.,klassifizierung:regulärer,Symbolic Computation
Combinatory reduction systems.,systems.:reduction,Programming Languages
Entwicklung und robuste Implementierung eines laufzeitoptimalen Verschneidungsoperators für Trapezoidzerlegungen von thematischen Karten.,karten.:trapezoidzerlegungen:robuste,Computation and Language
Entscheidbarkeitsfragen und Hierarchieresultate für Mehrkopfautomaten.,mehrkopfautomaten.:entscheidbarkeitsfragen,Mathematical Software
Modularisierung und Fokussierung erweiterbarer komplexer Wissensbasen auf der Basis von Kompetenzeinheiten.,erweiterbarer:kompetenzeinheiten.,Mathematical Software
Berechnung von Blockierungswahrscheinlichkeiten.,berechnung,Performance
Eine Theorie sequentieller Netzwerke.,sequentieller:netzwerke.,Symbolic Computation
A partitioning compiler for computers with Xputer-based accelerators.,partitioning:accelerators.,Other Computer Science
Ein flexibel einsetzbares Objekterkennungssystem auf der Basis neuronaler Netze.,basis:einsetzbares,Computational Engineering Finance and Science
Programmflußsteuerung der Augsburger strukturorientierten Rechnerarchitektur ASTOR.,rechnerarchitektur:astor.,Other Computer Science
Visualizing geo-related data using cartograms.,data:geo-related:cartograms.,Information Retrieval
Knowledge acquisition based on explicit methods of problem solving.,solving.:based,Machine Learning
"Tailorable systems - design, support, techniques, and applications.","support,:techniques,",Graphics
Spectral methods for efficient load balancing strategies.,balancing:efficient:strategies.,Computational Complexity
Inkrementelles Parsing gesprochener Sprache mit einer linksassoziativen Unifikationsgrammatik.,parsing:sprache:linksassoziativen,Artificial Intelligence
Orthologonalpolynome zu modifizierten Gewichten.,modifizierten:orthologonalpolynome,Emerging Technologies
Wiederverwendung von Commonsense Ontologien im Knowledge Engineering - Methoden und Werkzeuge.,werkzeuge.:engineering,Information Retrieval
Massiv paralleles Multicomputersystem zur Berechnung entkoppelter Probleme.,multicomputersystem:probleme.:massiv,Information Retrieval
Modelling and authoring hypermedia documents.,hypermedia:modelling:documents.,Distributed Parallel and Cluster Computing
On the combination of model- and property-oriented description techniques.,property-oriented:model-:techniques.,Computer Science and Game Theory
Protokollkomposition und Komplexität.,protokollkomposition,Multiagent Systems
Pure and applied fixed-point logics.,logics.:pure,Sound
Wissensbasierte Bewegungsausführung für die Montageautomatisierung mit Industrierobotern.,industrierobotern.:wissensbasierte:montageautomatisierung,General Literature
Versionenunterstützung für strukturierte Hyperdokumente im elektronischen Publizieren.,versionenunterstützung:elektronischen:hyperdokumente, Computational Geometry
Witness hiding proofs and applications.,proofs:applications.:witness,Sound
Logical foundations of reactive default reasoning.,reactive:foundations:default,Digital Libraries
Combinatorical ordering and the geometric embedding of graphs.,combinatorical:ordering,Machine Learning
Typinferenzsysteme.,,Distributed Parallel and Cluster Computing
Effizientes symbolisches Model-Checking von Realzeitaspekten für VHDL.,model-checking:effizientes:realzeitaspekten,Multimedia
Operationalizing reuse of software measurement planning knowledge.,reuse:software:knowledge.,Data Structures and Algorithms
Graphisch-interaktive Mensch-Maschine-Kommunikation in der Prozessautomatisierung - Problemanalyse und Hardware/Software-Lösungen.,hardware/software-lösungen.:problemanalyse:prozessautomatisierung,Multimedia
Compiling and executing finite domain constraints.,domain:constraints.,Computer Science and Game Theory
Reconfigurable Component Connectors.,connectors.:component,Numerical Analysis
The ATMS - an assumption based problem solving architecture utilizing specialization relations.,solving:utilizing:assumption,Data Structures and Algorithms
"Metal enrichment of the intra-cluster medium - galactic winds, starbursts and galaxy interactions.",metal:galactic,Symbolic Computation
Entwurf und Bewertung von Replikationsverfahren.,entwurf:bewertung,Networking and Internet Architecture
New applications of SPQR-trees in graph drawing.,applications:graph,Numerical Analysis
Termination analysis for offline partial evaluation of a higher order functional language.,higher:termination:partial,Computational Complexity
Compiler generation for parallel languages from denotational specifications.,languages:parallel,Computational Complexity
Lernverfahren zur Vervollständigung von Hornklauselmengen durch inverse Resolution.,lernverfahren:vervollständigung:resolution.,Human-Computer Interaction
Unifikation disjunktiver Attributterme - Auswertealgorithmen und Anwendungen in einer Valenzgrammatik zur Textanalyse.,valenzgrammatik:textanalyse.,Emerging Technologies
"Local search algorithms for combinatorial problems - analysis, improvements, and new applications.",combinatorial:search,Human-Computer Interaction
Les langages a operateur d'insertion.,d'insertion.:langages,Mathematical Software
Tree Transductions and Families of Tree Languges.,families:transductions:tree,Information Theory
Effiziente Modellprüfung des µ-Kalküls mit binären Entscheidungsdiagrammen.,µ-kalküls:modellprüfung,Other Computer Science
"Menüorientierte, wissensbasierte Klärungsdialoge für ein natürlichsprachliches Auskunftssystem.","menüorientierte,:natürlichsprachliches",Logic in Computer Science
Adaptive Steuerungen - Fuzzy Control im Vergleich zu Regelungstechnik und neuronalen Netzen.,adaptive:control,Distributed Parallel and Cluster Computing
"Zur Rolle der Aufmerksamkeit für die Objekterkennung - Modellierung, Simulation, Empirie.","modellierung,:aufmerksamkeit",Numerical Analysis
Practical soft typing.,soft:typing.,Mathematical Software
Referenzmodell zur Beschreibung der graphischen Datenverarbeitung und zur Integration graphischer Systeme mit anderen Bereichen der Datenverarbeitung.,systeme:referenzmodell,Other Computer Science
Systematic development of hybrid systems.,systematic:systems.,Computational Engineering Finance and Science
"Predicate classes, promise classe, and the acceptance power of regular languages.","classes,:classe,",Robotics
Identifikation von Systemen mit Hysterese mit Hilfe von Preisach-Neuronen in vorstrukturierten neuronalen Netzen.,identifikation:systemen,Logic in Computer Science
Ressourcen Management und Zugangskontrolle eines Vorabreservierungssystems.,ressourcen:vorabreservierungssystems.,Mathematical Software
Dispersionsmessungen zur Charakterisierung von Quarzglasfasern der optischen Nachrichtentechnik.,optischen:quarzglasfasern,Computer Vision and Pattern Recognition
Generic image structure.,structure.:generic,Digital Libraries
Intrinsic Plagiarism Detection and Author Analysis by Utilizing Grammar.,grammar.:plagiarism:utilizing,Emerging Technologies
Reinforcement Lernen mit Regularisierungsnetzwerken.,reinforcement:regularisierungsnetzwerken.,Computational Engineering Finance and Science
Engineering Coordination - A Methodology for the Coordination of Planning Systems.,engineering:planning:methodology,Networking and Internet Architecture
Constraints and negations in logic programming.,programming.:constraints,Human-Computer Interaction
Use and avoidance of randomness.,randomness.:avoidance,Graphics
"Tree-structured theorem proving using controlled case analysis mechanisms for classical, three-, and four-valued logic.","three-,:case:controlled",Robotics
Diskretisierung reellwertiger Attribute mit gemischten kontinuierlichen Gleichverteilungen und ihre Anwendung bei der zeitreihenbasierten Entscheidungsbauminduktion.,attribute:diskretisierung:zeitreihenbasierten,Machine Learning
Interactive feature detection in volumetric data.,detection:feature:volumetric,Multimedia
Programmation de calculateur massivement parallèles : application à la factorisation d'entiers. (Programming massively parallel computers. Application to cryptography).,massively:computers.:d'entiers.,Symbolic Computation
Processing of recursive rules in knowledge-based systems - algorithms for handling recursive rules and negative information and performance measurements.,rules:negative:algorithms,Emerging Technologies
Series rationnelles et algebres syntactiques.,series:algebres,Logic in Computer Science
On the magnification of exchange graphs with applications to enumeration problems.,exchange:graphs:enumeration,Computational Engineering Finance and Science
Applications of rewriting techniques.,applications:rewriting,Neural and Evolutionary Computing
Analyse eines Systems mit Timesharing- und Batchverarbeitung.,timesharing-:systems,Networking and Internet Architecture
Register pressure in instruction level parallelism.,parallelism.:level:register,General Literature
Planar graphs and their duals on cylinder surfaces.,graphs:planar,Data Structures and Algorithms
Formal methods and the development of dependable systems.,systems.:development:methods,Multiagent Systems
The formal relationship between direct and continuation-passing style optimizing compilers - a synthesis of two paradigms.,formal:paradigms.:relationship,Numerical Analysis
Kausale Semantik nichtsequentieller Programme.,nichtsequentieller:programme.,Data Structures and Algorithms
Combinatorial solutions for shape optimization in computer vision.,combinatorial:computer,Social and Information Networks
Foundations of semantic subsumption in deductive databases.,semantic:deductive:foundations,Other Computer Science
Graduierte Faktorialität und die Parameterkurven tubularer Familien.,tubularer:familien.,Discrete Mathematics
